Vertiport,Class,Angle_deg,Label,Category,X_cm,Y_cm,Z_cm,X_m,Y_m,Z_m,Yaw_deg,pt_lat_deg,pt_lon_deg,pt_h_m
영등포·여의도,port,322.0,GATE 8,GATE,-489394.72457136214,442314.0053706537,1728.265952000023,-4893.947245713622,4423.140053706537,17.28265952000023,412.0,37.52693814309111,126.92308699603817,29.342541837133467
영등포·여의도,port,322.0,GATE 7,GATE,-488010.01013535395,441232.14787356305,1728.265952000023,-4880.10010135354,4412.32147873563,17.28265952000023,412.0,37.52703573436725,126.92324360700414,29.334703004918993
영등포·여의도,port,322.0,GATE 6,GATE,-486679.4580756196,440192.60663971025,1728.265952000023,-4866.7945807561955,4401.926066397103,17.28265952000023,412.0,37.527129508217136,126.92339409259944,29.32721643615514
영등포·여의도,port,322.0,GATE 5,GATE,-485308.5359474017,439121.5248211536,1728.265952000023,-4853.085359474017,4391.215248211536,17.28265952000023,412.0,37.527226127045246,126.92354914444869,29.31954951584339
영등포·여의도,port,322.0,GATE 4,GATE,-486751.29335362464,445624.2226762258,1728.2659620000118,-4867.512933536246,4456.242226762258,17.282659620000118,232.0,37.526639885276516,126.9233860112811,29.349053137004375
영등포·여의도,port,322.0,GATE 3,GATE,-485402.80973710254,444570.67180271214,1728.2659620000118,-4854.028097371025,4445.7067180271215,17.282659620000118,232.0,37.52673492271384,126.92353852431474,29.34141967818141
영등포·여의도,port,322.0,GATE 2,GATE,-484071.84514832014,443530.80830137606,1728.2659620000118,-4840.7184514832015,4435.308083013761,17.282659620000118,232.0,37.52682872526291,126.92368905633218,29.333930452354252
영등포·여의도,port,322.0,GATE 1,GATE,-482734.6997350129,442486.11581702373,1728.2659620000118,-4827.346997350129,4424.861158170237,17.282659620000118,232.0,37.526922963223626,126.92384028778046,29.326451531611383
영등포·여의도,port,322.0,FATO 2,FATO,-483000.93582576426,437451.02284345345,1728.265952000023,-4830.009358257643,4374.510228434535,17.28265952000023,322.0,37.52737682567767,126.92381013686138,29.30726777855307
영등포·여의도,port,322.0,FATO 1,FATO,-480478.2335949475,440723.17125255364,1728.2659620000118,-4804.782335949475,4407.231712525537,17.282659620000118,322.0,37.52708199168539,126.92409549547423,29.31393313128501
영등포·여의도,port,322.0,TAXI 5,TAXI,-488057.3336015832,444025.7877026648,1728.265952000023,-4880.573336015832,4440.257877026648,17.28265952000023,322.0,37.526783906365196,126.92323827740134,29.34594919718802
영등포·여의도,port,322.0,TAXI 4,TAXI,-486686.1437328992,442954.49661223014,1728.265952000023,-4866.861437328992,4429.544966122301,17.28265952000023,322.0,37.526880544280594,126.92339335861507,29.338186524808407
영등포·여의도,port,322.0,TAXI 3,TAXI,-485345.009530166,441906.6877414942,1728.265952000023,-4853.4500953016595,4419.066877414942,17.28265952000023,322.0,37.52697506373799,126.9235450409283,29.330639969557524
영등포·여의도,port,322.0,TAXI 2,TAXI,-484002.32386511867,440857.66671270976,1728.265952000023,-4840.023238651187,4408.576667127098,17.28265952000023,322.0,37.52706969234381,126.92369689909576,29.323130221106112
영등포·여의도,port,322.0,TAXI 1,TAXI,-481738.6002009273,439089.05194134184,1728.265952000023,-4817.3860020092725,4390.890519413419,17.28265952000023,322.0,37.52722923259951,126.92395292781762,29.31057219207287
잠실,port,83.0,GATE 8,GATE,803509.91849526,576363.5654267294,253.717077000023,8035.0991849526,5763.635654267294,2.53717077000023,173.0,37.51481572599217,127.06928884387428,32.909832239151
잠실,port,83.0,GATE 7,GATE,803724.0707083637,578107.6951647144,253.717077000023,8037.240707083637,5781.076951647144,2.53717077000023,173.0,37.51465848662559,127.06931276952224,32.92424361407757
잠실,port,83.0,GATE 6,GATE,803929.8464903407,579783.6041980737,253.717077000023,8039.298464903407,5797.836041980738,2.53717077000023,173.0,37.51450739758514,127.06933575923865,32.93813707400113
잠실,port,83.0,GATE 5,GATE,804141.8657078149,581510.3617360916,253.717077000023,8041.418657078149,5815.103617360915,2.53717077000023,173.0,37.51435172436672,127.06935944638819,32.95249900594354
잠실,port,83.0,GATE 4,GATE,799311.0407371646,576924.5402796334,253.71708700001184,7993.110407371645,5769.245402796334,2.5371708700001183,-7.0,37.514765532664065,127.06881390883304,32.8392157740891
잠실,port,83.0,GATE 3,GATE,799519.5896896654,578623.0351549629,253.71708700001184,7995.195896896654,5786.230351549629,2.5371708700001183,-7.0,37.51461240753009,127.06883720942736,32.85325080063194
잠실,port,83.0,GATE 2,GATE,799725.4292406243,580299.463774757,253.71708700001184,7997.254292406243,5802.99463774757,2.5371708700001183,-7.0,37.51446127173693,127.06886020721426,32.86714868247509
잠실,port,83.0,GATE 1,GATE,799932.2246779558,581983.6775053416,253.71708700001184,7999.322246779559,5819.836775053416,2.5371708700001183,-7.0,37.514309434081575,127.06888331170578,32.88115630950779
잠실,port,83.0,FATO 2,FATO,804385.2634545474,584348.7332261836,253.717077000023,8043.852634545474,5843.487332261836,2.53717077000023,83.0,37.51409584465851,127.06938649552309,32.974351877346635
잠실,port,83.0,FATO 1,FATO,800281.197134691,584825.830070405,253.71708700001184,8002.8119713469105,5848.25830070405,2.5371708700001183,83.0,37.51405320424361,127.06892230089879,32.90489728562534
잠실,port,83.0,TAXI 5,TAXI,801353.8273838634,576628.3001573342,253.717077000023,8013.538273838634,5766.283001573342,2.53717077000023,83.0,37.514792054605074,127.06904497224312,32.87339421827346
잠실,port,83.0,TAXI 4,TAXI,801565.8880858143,578355.3949767099,253.717077000023,8015.658880858143,5783.553949767099,2.53717077000023,83.0,37.51463635104318,127.06906866472245,32.88766467105597
잠실,port,83.0,TAXI 3,TAXI,801773.300409223,580044.6328248035,253.717077000023,8017.73300409223,5800.446328248035,2.53717077000023,83.0,37.51448406041008,127.06909183776625,32.90166841633618
잠실,port,83.0,TAXI 2,TAXI,801980.9526927107,581735.8248432089,253.717077000023,8019.809526927107,5817.358248432089,2.53717077000023,83.0,37.51433159359396,127.06911503752505,32.915734024718404
잠실,port,83.0,TAXI 1,TAXI,802331.0475641325,584587.1186930821,253.717077000023,8023.310475641325,5845.871186930821,2.53717077000023,83.0,37.514074539563204,127.06915415133592,32.93955162353814
상암·수색,port,38.0,GATE 8,GATE,-775579.6117263564,50014.270967987526,1922.324453000023,-7755.796117263564,500.1427096798753,19.22324453000023,128.0,37.56228379050838,126.89070060541809,31.272486997768283
상암·수색,port,38.0,GATE 7,GATE,-774194.8972792664,51096.12845089408,1922.324453000023,-7741.948972792664,510.9612845089408,19.22324453000023,128.0,37.562186382776495,126.89085735022037,31.26037763990462
상암·수색,port,38.0,GATE 6,GATE,-772864.3451862864,52135.66964219435,1922.324453000023,-7728.643451862864,521.3566964219435,19.22324453000023,128.0,37.56209278489936,126.89100796365082,31.248787541873753
상암·수색,port,38.0,GATE 5,GATE,-771493.4229952709,53206.7513803738,1922.324453000023,-7714.934229952709,532.0675138037379,19.22324453000023,128.0,37.56199634698169,126.8911631464291,31.236892542801797
상암·수색,port,38.0,GATE 4,GATE,-778151.9975399155,53379.995026673605,1922.3244630000117,-7781.519975399155,533.799950266736,19.223244630000117,-52.0,37.5619801873148,126.89040967611813,31.28336667828262
상암·수색,port,38.0,GATE 3,GATE,-776803.5139172367,54433.54589230713,1922.3244630000117,-7768.035139172367,544.3354589230713,19.223244630000117,-52.0,37.56188532861318,126.89056231947245,31.271575047634542
상암·수색,port,38.0,GATE 2,GATE,-775472.5493296856,55473.40939521925,1922.3244630000117,-7754.725493296856,554.7340939521924,19.223244630000117,-52.0,37.56179170208714,126.89071297935783,31.25998163037002
상암·수색,port,38.0,GATE 1,GATE,-774135.4039237662,56518.10188902758,1922.3244630000117,-7741.354039237663,565.1810188902758,19.223244630000117,-52.0,37.56169764057625,126.89086433850807,31.248379414901137
상암·수색,port,38.0,FATO 2,FATO,-769314.2830698603,55041.674911304384,1922.324453000023,-7693.142830698603,550.4167491130438,19.22324453000023,38.0,37.56183112017792,126.8914098214884,31.21780225727707
상암·수색,port,38.0,FATO 1,FATO,-771878.9377812383,58281.04645034579,1922.3244630000117,-7718.7893778123835,582.8104645034579,19.223244630000117,38.0,37.56153890899343,126.89111975997837,31.228902753442526
상암·수색,port,38.0,TAXI 5,TAXI,-776917.0026488547,51726.05333693828,1922.324453000023,-7769.170026488548,517.2605333693829,19.22324453000023,38.0,37.56212937788056,126.8905493483155,31.278190694749355
상암·수색,port,38.0,TAXI 4,TAXI,-775545.8126299493,52797.34423509833,1922.324453000023,-7755.458126299493,527.9734423509833,19.22324453000023,38.0,37.562032921734584,126.89070456207631,31.266199528239667
상암·수색,port,38.0,TAXI 3,TAXI,-774204.6784321414,53845.153112138374,1922.324453000023,-7742.046784321415,538.4515311213837,19.22324453000023,38.0,37.56193857964723,126.8908563732401,31.254517124965787
상암·수색,port,38.0,TAXI 2,TAXI,-772861.9927498555,54894.17411885838,1922.324453000023,-7728.619927498555,548.9417411885838,19.22324453000023,38.0,37.56184412822537,126.89100835964291,31.24286669678986
상암·수색,port,38.0,TAXI 1,TAXI,-770598.2690758136,56662.78887761819,1922.324453000023,-7705.9826907581355,566.627888776182,19.22324453000023,38.0,37.561684885801455,126.89126460282611,31.22332752402872
