지점 시작,유입계,유입비율,유출계,유출비율,37911,38742
January,3066,8.087362506924112,3131,8.081668473491302,,
February,3152,8.314209596159426,3219,8.308812141861546,,
March,3192,8.419719870222362,3267,8.432708688245315,,
April,3194,8.42499538392551,3273,8.448195756543287,,
May,3204,8.451372952441243,3282,8.471426358990243,,
June,3181,8.390704544855057,3263,8.422383976046667,,
July,3130,8.25617894542481,3203,8.267513293066955,,
August,3120,8.229801376909077,3172,8.187496773527437,,
September,3188,8.409168842816069,3271,8.443033400443962,,
October,3186,8.403893329112924,3248,8.383666305301741,,
November,3180,8.388066788003481,3238,8.357854524805122,,
December,3118,8.22452586320593,3175,8.195240307676425,,
