지점 시작,지점 끝,유입계,유입비율,유출계,유출비율,5101,5158
0,1,91,1.7839639286414428,101,1.9581233036060488,,
1,2,65,1.274259949029602,72,1.3958898797983714,,
2,3,51,0.9998039600078416,56,1.0856921287320667,,
3,4,46,0.9017839639286416,46,0.8918185343156262,,
4,5,67,1.313467947461282,66,1.2795657231485071,,
5,6,147,2.8817878847284844,140,2.7142303218301667,,
6,7,249,4.881395804744168,219,4.245831717720047,,
7,8,310,6.0772397569104095,276,5.350911205893757,,
8,9,312,6.11644775534209,290,5.622334238076774,,
9,10,297,5.822387767104489,274,5.312136487010469,,
10,11,279,5.469515781219369,267,5.176424970918961,,
11,12,269,5.273475789060968,265,5.137650252035673,,
12,13,262,5.136247794550088,260,5.040713454827452,,
13,14,269,5.273475789060968,267,5.176424970918961,,
14,15,272,5.332287786708489,273,5.292749127568825,,
15,16,273,5.3518917859243285,282,5.467235362543621,,
16,17,280,5.4891197804352085,296,5.738658394726638,,
17,18,283,5.547931778082729,304,5.8937572702597905,,
18,19,274,5.371495785140168,298,5.777433113609926,,
19,20,245,4.802979807880807,271,5.253974408685537,,
20,21,223,4.371691825132327,243,4.711128344319504,,
21,22,212,4.156047833758087,231,4.4784800310197745,,
22,23,186,3.646343854146246,207,4.013183404420318,,
23,24,139,2.7249558910017644,154,2.9856533540131833,,
