Vertiport,Class,Angle_deg,Label,Category,X_cm,Y_cm,Z_cm,X_m,Y_m,Z_m,Yaw_deg,pt_lat_deg,pt_lon_deg,pt_h_m
영등포·여의도,port,322,GATE 8,GATE,-489394.7245713620 ,442314.0053706530 ,1878.2659520000 ,-4893.9472457136 ,4423.1400537065 ,18.7826595200 ,412,37.526939543411900000 ,126.923088145473000000 ,30.040661538019700000 
영등포·여의도,port,322,GATE 7,GATE,-488010.0101353530 ,441232.1478735630 ,1878.2659520000 ,-4880.1001013535 ,4412.3214787356 ,18.7826595200 ,412,37.527037134675800000 ,126.923244756426000000 ,30.032823191024300000 
영등포·여의도,port,322,GATE 6,GATE,-486679.4580756190 ,440192.6066397100 ,1878.2659520000 ,-4866.7945807562 ,4401.9260663971 ,18.7826595200 ,412,37.527130908513900000 ,126.923395242009000000 ,30.025337087921800000 
영등포·여의도,port,322,GATE 5,GATE,-485308.5359474010 ,439121.5248211530 ,1878.2659520000 ,-4853.0853594740 ,4391.2152482115 ,18.7826595200 ,412,37.527227527329900000 ,126.923550293846000000 ,30.017670648172400000 
영등포·여의도,port,322,GATE 4,GATE,-486751.2933536240 ,445624.2226762250 ,1878.2659620000 ,-4867.5129335362 ,4456.2422267623 ,18.7826596200 ,232,37.526641285627200000 ,126.923387160684000000 ,30.047172450460400000 
영등포·여의도,port,322,GATE 3,GATE,-485402.8097371020 ,444570.6718027120 ,1878.2659620000 ,-4854.0280973710 ,4445.7067180271 ,18.7826596200 ,232,37.526736323052600000 ,126.923539673705000000 ,30.039539461955400000 
영등포·여의도,port,322,GATE 2,GATE,-484071.8451483200 ,443530.8083013760 ,1878.2659620000 ,-4840.7184514832 ,4435.3080830138 ,18.7826596200 ,232,37.526830125589900000 ,126.923690205710000000 ,30.032050703652200000 
영등포·여의도,port,322,GATE 1,GATE,-482734.6997350120 ,442486.1158170230 ,1878.2659620000 ,-4827.3469973501 ,4424.8611581702 ,18.7826596200 ,232,37.526924363538800000 ,126.923841437147000000 ,30.024572249501900000 
영등포·여의도,port,322,FATO 2,FATO,-483000.9358257640 ,437451.0228434530 ,1878.2659520000 ,-4830.0093582576 ,4374.5102284345 ,18.7826595200 ,322,37.527378225943200000 ,126.923811286237000000 ,30.005389686673800000 
영등포·여의도,port,322,FATO 1,FATO,-480478.2335949470 ,440723.1712525530 ,1878.2659620000 ,-4804.7823359495 ,4407.2317125255 ,18.7826596200 ,322,37.527083391980600000 ,126.924096644820000000 ,30.012054640799700000 
영등포·여의도,port,322,TAXI 5,TAXI,-488057.3336015830 ,444025.7877026640 ,1878.2659520000 ,-4880.5733360158 ,4440.2578770266 ,18.7826595200 ,322,37.526785306701500000 ,126.923239426820000000 ,30.044068691320700000 
영등포·여의도,port,322,TAXI 4,TAXI,-486686.1437328990 ,442954.4966122300 ,1878.2659520000 ,-4866.8614373290 ,4429.5449661223 ,18.7826595200 ,322,37.526881944604700000 ,126.923394508021000000 ,30.036306498572200000 
영등포·여의도,port,322,TAXI 3,TAXI,-485345.0095301660 ,441906.6877414940 ,1878.2659520000 ,-4853.4500953017 ,4419.0668774149 ,18.7826595200 ,322,37.526976464050300000 ,126.923546190322000000 ,30.028760413639200000 
영등포·여의도,port,322,TAXI 2,TAXI,-484002.3238651180 ,440857.6667127090 ,1878.2659520000 ,-4840.0232386512 ,4408.5766671271 ,18.7826595200 ,322,37.527071092644200000 ,126.923698048477000000 ,30.021251135505700000 
영등포·여의도,port,322,TAXI 1,TAXI,-481738.6002009270 ,439089.0519413410 ,1878.2659520000 ,-4817.3860020093 ,4390.8905194134 ,18.7826595200 ,322,37.527230632879900000 ,126.923954077178000000 ,30.008693900890600000 
잠실,port,83,GATE 8,GATE,803509.9184952600 ,576363.5654267290 ,403.7170770000 ,8035.0991849526 ,5763.6356542673 ,4.0371707700 ,173,37.514817126231500000 ,127.069289979871000000 ,33.608123500831400000 
잠실,port,83,GATE 7,GATE,803724.0707083630 ,578107.6951647140 ,403.7170770000 ,8037.2407070836 ,5781.0769516471 ,4.0371707700 ,173,37.514659886882000000 ,127.069313905514000000 ,33.622534482739800000 
잠실,port,83,GATE 6,GATE,803929.8464903400 ,579783.6041980730 ,403.7170770000 ,8039.2984649034 ,5797.8360419807 ,4.0371707700 ,173,37.514508797858000000 ,127.069336895226000000 ,33.636427565477700000 
