"LocalID","ID","Type","Pax","From","DepFATO_No","DepGate_No","STD","To","ArrFATO_No","ArrGate_No","STA","DepGateIn","DepGateOut","DepFATOIn","DepFATOOut","ArrFATOIn","ArrFATOOut","ArrGateIn","ArrGateOut"
"6-1","UAM0057","6인승","6","미아","1","1","06:37:33","봉천","2","1","07:01:34","06:36:33","06:37:33","06:42:33","06:44:33","07:01:34","07:03:34","07:08:34","07:14:34"
"6-2","UAM0067","6인승","6","미아","1","2","06:38:50","천호","2","2","07:02:27","06:37:50","06:38:50","06:44:33","06:46:33","07:02:27","07:04:27","07:09:27","07:15:27"
"6-3","UAM0074","6인승","6","미아","1","1","06:39:27","강남","2","5","07:03:18","06:38:27","06:39:27","06:46:33","06:48:33","07:03:18","07:05:18","07:10:18","07:16:18"
"6-4","UAM0109","6인승","6","미아","1","1","06:44:17","마곡","2","3","07:04:52","06:43:17","06:44:17","06:49:17","06:51:17","07:04:52","07:06:52","07:11:52","07:17:52"
"6-5","UAM0138","6인승","6","미아","1","1","06:47:48","목동","2","2","07:18:55","06:46:48","06:47:48","06:52:48","06:54:48","07:18:55","07:20:55","07:25:55","07:31:55"
"6-6","UAM0195","6인승","6","미아","1","2","06:55:58","수서","2","2","07:18:02","06:54:58","06:55:58","07:00:58","07:02:58","07:18:02","07:20:02","07:25:02","07:31:02"
"6-7","UAM0226","6인승","6","미아","1","2","07:00:58","강남","2","2","07:25:06","06:59:58","07:00:58","07:05:58","07:07:58","07:25:06","07:27:06","07:32:06","07:38:06"
"6-8","UAM0014","6인승","6","미아","1","1","07:05:59","수서","2","1","07:38:42","07:17:59","07:18:59","07:23:59","07:25:59","07:38:42","07:40:42","07:45:42","07:51:42"
"6-9","UAM0259","6인승","6","미아","1","4","07:08:02","가산","2","1","07:41:25","07:07:02","07:08:02","07:25:59","07:27:59","07:41:25","07:43:25","07:48:25","07:54:25"
"6-10","UAM0028","6인승","6","미아","1","2","07:08:59","잠실","2","3","07:42:55","07:15:59","07:16:59","07:27:59","07:29:59","07:42:55","07:44:55","07:49:55","07:55:55"
"6-11","UAM0267","6인승","6","미아","1","4","07:10:20","연신내","2","3","07:43:22","07:09:20","07:10:20","07:29:59","07:31:59","07:43:22","07:45:22","07:50:22","07:56:22"
"6-12","UAM0044","6인승","6","미아","1","1","07:10:50","여의도","2","1","07:45:02","07:26:29","07:27:29","07:32:29","07:34:29","07:45:02","07:47:02","07:52:02","07:58:02"
"6-13","UAM0273","6인승","6","미아","1","5","07:11:36","목동","2","4","07:54:55","07:10:36","07:11:36","07:34:29","07:36:29","07:54:55","07:56:55","08:01:55","08:07:55"
"6-14","UAM0276","6인승","6","미아","1","6","07:11:48","마곡","2","5","07:54:42","07:10:48","07:11:48","07:36:29","07:38:29","07:54:42","07:56:42","08:01:42","08:07:42"
"6-15","UAM0279","6인승","6","미아","1","4","07:12:18","광화문","2","2","07:47:25","07:11:18","07:12:18","07:38:29","07:40:29","07:47:25","07:49:25","07:54:25","08:00:25"
"6-16","UAM0054","6인승","6","미아","1","3","07:18:32","성수","2","2","07:50:56","07:19:59","07:20:59","07:40:29","07:42:29","07:50:56","07:52:56","07:57:56","08:03:56"
"6-17","UAM0064","6인승","6","미아","1","2","07:20:27","봉천","2","2","07:55:56","07:24:29","07:25:29","07:42:29","07:44:29","07:55:56","07:57:56","08:02:56","08:08:56"
"6-18","UAM0070","6인승","6","미아","1","1","07:25:04","강남","2","3","08:04:49","07:27:59","07:28:59","07:44:29","07:46:29","08:04:49","08:06:49","08:11:49","08:17:49"
"6-19","UAM0081","6인승","6","미아","1","3","07:26:32","천호","2","2","08:15:23","07:28:29","07:29:29","07:46:29","07:48:29","08:15:23","08:17:23","08:22:23","08:28:23"
"6-20","UAM0103","6인승","6","미아","1","4","07:28:10","목동","2","5","08:28:55","07:29:59","07:30:59","07:48:29","07:50:29","08:28:55","08:30:55","08:35:55","08:41:55"
"6-21","UAM0143","6인승","6","미아","1","2","07:29:26","가산","2","5","08:08:37","07:28:26","07:29:26","07:50:29","07:52:29","08:08:37","08:10:37","08:15:37","08:21:37"
"6-22","UAM0147","6인승","6","미아","1","1","07:39:12","성수","2","1","08:16:15","07:50:18","07:51:18","07:56:18","07:58:18","08:16:15","08:18:15","08:23:15","08:29:15"
