"LocalID","ID","Type","Pax","From","DepFATO_No","DepGate_No","STD","To","ArrFATO_No","ArrGate_No","STA","DepGateIn","DepGateOut","DepFATOIn","DepFATOOut","ArrFATOIn","ArrFATOOut","ArrGateIn","ArrGateOut"
"7-1","UAM0007","6인승","6","봉천","1","1","06:30:59","잠실","2","1","06:47:08","06:29:59","06:30:59","06:35:59","06:37:59","06:47:08","06:49:08","06:54:08","07:00:08"
"7-2","UAM0036","6인승","6","봉천","1","1","06:35:27","목동","2","3","06:53:00","06:34:27","06:35:27","06:40:27","06:42:27","06:53:00","06:55:00","07:00:00","07:06:00"
"7-3","UAM0046","6인승","6","봉천","1","2","06:36:41","광화문","2","3","06:54:56","06:35:41","06:36:41","06:42:27","06:44:27","06:54:56","06:56:56","07:01:56","07:07:56"
"7-4","UAM0069","6인승","6","봉천","1","1","06:39:06","마곡","2","2","07:02:52","06:38:06","06:39:06","06:44:27","06:46:27","07:02:52","07:04:52","07:09:52","07:15:52"
"7-5","UAM0088","6인승","6","봉천","1","1","06:42:02","성수","2","2","06:59:09","06:41:02","06:42:02","06:47:02","06:49:02","06:59:09","07:01:09","07:06:09","07:12:09"
"7-6","UAM0101","6인승","6","봉천","1","2","06:43:27","천호","2","2","07:10:27","06:42:27","06:43:27","06:49:02","06:51:02","07:10:27","07:12:27","07:17:27","07:23:27"
"7-7","UAM0130","6인승","6","봉천","1","1","06:46:27","망우","2","2","07:07:23","06:45:27","06:46:27","06:51:27","06:53:27","07:07:23","07:09:23","07:14:23","07:20:23"
"7-8","UAM0134","6인승","6","봉천","1","2","06:47:28","수서","2","3","07:08:39","06:46:28","06:47:28","06:53:27","06:55:27","07:08:39","07:10:39","07:15:39","07:21:39"
"7-9","UAM0141","6인승","6","봉천","1","1","06:48:12","목동","2","3","07:20:55","06:47:12","06:48:12","06:55:27","06:57:27","07:20:55","07:22:55","07:27:55","07:33:55"
"7-10","UAM0161","6인승","6","봉천","1","1","06:50:45","강남","2","4","07:14:13","06:49:45","06:50:45","06:57:27","06:59:27","07:14:13","07:16:13","07:21:13","07:27:13"
"7-11","UAM0171","6인승","6","봉천","1","1","06:52:32","마곡","2","4","07:28:42","06:51:32","06:52:32","06:59:27","07:01:27","07:28:42","07:30:42","07:35:42","07:41:42"
"7-12","UAM0189","6인승","6","봉천","1","1","06:55:13","성수","2","1","07:19:01","06:54:13","06:55:13","07:01:27","07:03:27","07:19:01","07:21:01","07:26:01","07:32:01"
"7-13","UAM0225","6인승","6","봉천","1","2","07:00:48","잠실","2","1","07:17:30","06:59:48","07:00:48","07:05:48","07:07:48","07:17:30","07:19:30","07:24:30","07:30:30"
"7-14","UAM0249","6인승","6","봉천","1","4","07:05:44","강남","2","4","07:29:06","07:04:44","07:05:44","07:10:44","07:12:44","07:29:06","07:31:06","07:36:06","07:42:06"
"7-15","UAM0030","6인승","6","봉천","1","1","07:08:02","망우","2","3","07:29:25","07:07:04","07:08:04","07:13:04","07:15:04","07:29:25","07:31:25","07:36:25","07:42:25"
"7-16","UAM0033","6인승","6","봉천","1","2","07:08:47","천호","2","3","07:43:23","07:09:04","07:10:04","07:15:04","07:17:04","07:43:23","07:45:23","07:50:23","07:56:23"
"7-17","UAM0263","6인승","6","봉천","1","5","07:09:02","목동","2","3","07:44:55","07:08:02","07:09:02","07:17:04","07:19:04","07:44:55","07:46:55","07:51:55","07:57:55"
"7-18","UAM0035","6인승","6","봉천","1","3","07:11:45","수서","2","3","07:35:41","07:11:04","07:12:04","07:19:04","07:21:04","07:35:41","07:37:41","07:42:41","07:48:41"
"7-19","UAM0056","6인승","6","봉천","1","4","07:15:04","목동","2","4","08:02:55","07:14:04","07:15:04","07:21:04","07:23:04","08:02:55","08:04:55","08:09:55","08:15:55"
"7-20","UAM0057","6인승","6","봉천","1","1","07:20:08","광화문","2","3","07:49:25","07:22:31","07:23:31","07:28:31","07:30:31","07:49:25","07:51:25","07:56:25","08:02:25"
"7-21","UAM0090","6인승","6","봉천","1","2","07:22:37","연신내","2","3","07:54:02","07:24:31","07:25:31","07:30:31","07:32:31","07:54:02","07:56:02","08:01:02","08:07:02"
"7-22","UAM0105","6인승","6","봉천","1","1","07:23:09","성수","2","3","08:00:15","07:24:01","07:25:01","07:32:31","07:34:31","08:00:15","08:02:15","08:07:15","08:13:15"
"7-23","UAM0177","6인승","6","봉천","1","2","07:24:51","천호","2","5","08:09:23","07:26:01","07:27:01","07:34:31","07:36:31","08:09:23","08:11:23","08:16:23","08:22:23"
"7-24","UAM0327","6인승","6","봉천","1","3","07:25:08","강남","2","4","08:06:49","07:24:08","07:25:08","07:36:31","07:38:31","08:06:49","08:08:49","08:13:49","08:19:49"
"7-25","UAM0341","6인승","6","봉천","1","3","07:27:26","잠실","2","4","07:54:55","07:26:26","07:27:26","07:38:31","07:40:31","07:54:55","07:56:55","08:01:55","08:07:55"
"7-26","UAM0342","6인승","6","봉천","1","4","07:27:55","미아","2","4","07:58:45","07:26:55","07:27:55","07:40:31","07:42:31","07:58:45","08:00:45","08:05:45","08:11:45"
"7-27","UAM0343","6인승","6","봉천","1","5","07:28:05","상암","2","2","07:53:52","07:27:05","07:28:05","07:42:31","07:44:31","07:53:52","07:55:52","08:00:52","08:06:52"
"7-28","UAM0358","6인승","6","봉천","1","3","07:30:14","목동","2","2","08:42:55","07:29:14","07:30:14","07:44:31","07:46:31","08:42:55","08:44:55","08:49:55","08:55:55"
"7-29","UAM0176","6인승","6","봉천","1","1","07:36:19","망우","2","4","08:04:55","07:35:19","07:36:19","07:46:31","07:48:31","08:04:55","08:06:55","08:11:55","08:17:55"
"7-30","UAM0017","6인승","6","봉천","1","2","07:39:31","강남","2","5","08:30:49","07:38:31","07:39:31","07:48:31","07:50:31","08:30:49","08:32:49","08:37:49","08:43:49"
"7-31","UAM0274","6인승","6","봉천","1","3","07:45:35","광화문","2","2","08:17:25","07:44:35","07:45:35","07:50:35","07:52:35","08:17:25","08:19:25","08:24:25","08:30:25"
"7-32","UAM0402","6인승","6","봉천","1","2","07:46:17","마곡","2","2","08:52:42","07:45:17","07:46:17","07:52:35","07:54:35","08:52:42","08:54:42","08:59:42","09:05:42"
"7-33","UAM0255","6인승","6","봉천","1","1","07:48:44","연신내","2","5","08:23:22","07:54:07","07:55:07","08:00:07","08:02:07","08:23:22","08:25:22","08:30:22","08:36:22"
"7-34","UAM0418","6인승","6","봉천","1","2","07:48:56","천호","2","1","08:59:23","07:47:56","07:48:56","08:02:07","08:04:07","08:59:23","09:01:23","09:06:23","09:12:23"
"7-35","UAM0438","6인승","6","봉천","1","2","07:51:45","수서","2","3","08:29:41","07:50:45","07:51:45","08:04:07","08:06:07","08:29:41","08:31:41","08:36:41","08:42:41"
"7-36","UAM0010","6인승","6","봉천","1","1","07:55:07","강남","2","4","09:06:49","07:55:37","07:56:37","08:06:07","08:08:07","09:06:49","09:08:49","09:13:49","09:19:49"
"7-37","UAM0447","6인승","6","봉천","1","2","07:55:37","광화문","2","3","08:29:30","07:54:37","07:55:37","08:08:07","08:10:07","08:29:30","08:31:30","08:36:30","08:42:30"
"7-38","UAM0450","6인승","6","봉천","1","3","07:56:10","목동","2","3","09:30:55","07:55:10","07:56:10","08:10:07","08:12:07","09:30:55","09:32:55","09:37:55","09:43:55"
"7-39","UAM0451","6인승","6","봉천","1","4","07:56:18","성수","2","4","08:47:08","07:55:18","07:56:18","08:12:07","08:14:07","08:47:08","08:49:08","08:54:08","09:00:08"
"7-40","UAM0073","6인승","6","봉천","1","2","08:02:45","미아","2","3","08:39:33","08:09:26","08:10:26","08:15:26","08:17:26","08:39:33","08:41:33","08:46:33","08:52:33"
"7-41","UAM0465","6인승","6","봉천","1","3","08:03:26","잠실","2","4","08:33:54","08:02:26","08:03:26","08:17:26","08:19:26","08:33:54","08:35:54","08:40:54","08:46:54"
"7-42","UAM0466","6인승","6","봉천","1","4","08:04:10","강남","2","4","09:22:49","08:03:10","08:04:10","08:19:26","08:21:26","09:22:49","09:24:49","09:29:49","09:35:49"
"7-43","UAM0021","6인승","6","봉천","1","1","08:11:04","강남","2","4","09:30:49","08:13:26","08:14:26","08:21:26","08:23:26","09:30:49","09:32:49","09:37:49","09:43:49"
"7-44","UAM0064","6인승","6","봉천","1","2","08:12:12","성수","2","3","09:09:08","08:24:27","08:25:27","08:30:27","08:32:27","09:09:08","09:11:08","09:16:08","09:22:08"
"7-45","UAM0069","6인승","6","봉천","1","3","08:13:53","연신내","2","1","08:44:29","08:12:53","08:13:53","08:32:27","08:34:27","08:44:29","08:46:29","08:51:29","08:57:29"
"7-46","UAM0127","6인승","6","봉천","1","1","08:14:15","천호","2","4","09:35:23","08:21:44","08:22:44","08:34:27","08:36:27","09:35:23","09:37:23","09:42:23","09:48:23"
"7-47","UAM0114","6인승","6","봉천","1","4","08:19:04","광화문","2","4","09:00:14","08:18:04","08:19:04","08:36:27","08:38:27","09:00:14","09:02:14","09:07:14","09:13:14"
"7-48","UAM0223","6인승","6","봉천","1","2","08:21:00","망우","2","3","08:53:58","08:25:57","08:26:57","08:38:27","08:40:27","08:53:58","08:55:58","09:00:58","09:06:58"
"7-49","UAM0328","6인승","6","봉천","1","1","08:21:57","상암","2","2","08:51:48","08:23:14","08:24:14","08:40:27","08:42:27","08:51:48","08:53:48","08:58:48","09:04:48"
"7-50","UAM0528","6인승","6","봉천","1","4","08:23:18","잠실","2","2","08:57:54","08:22:18","08:23:18","08:42:27","08:44:27","08:57:54","08:59:54","09:04:54","09:10:54"
"7-51","UAM0338","6인승","6","봉천","1","2","08:25:09","목동","2","3","10:26:55","08:27:27","08:28:27","08:44:27","08:46:27","10:26:55","10:28:55","10:33:55","10:39:55"
"7-52","UAM0150","6인승","6","봉천","1","3","08:27:25","마곡","2","4","10:20:42","08:26:27","08:27:27","08:46:27","08:48:27","10:20:42","10:22:42","10:27:42","10:33:42"
"7-53","UAM0550","6인승","6","봉천","1","1","08:28:54","천호","2","4","10:01:23","08:27:54","08:28:54","08:48:27","08:50:27","10:01:23","10:03:23","10:08:23","10:14:23"
"7-54","UAM0028","6인승","6","봉천","1","3","08:35:20","성수","2","5","09:37:38","08:34:42","08:35:42","08:50:27","08:52:27","09:37:38","09:39:38","09:44:38","09:50:38"
