"LocalID","ID","Type","Pax","From","DepFATO_No","DepGate_No","STD","To","ArrFATO_No","ArrGate_No","STA","DepGateIn","DepGateOut","DepFATOIn","DepFATOOut","ArrFATOIn","ArrFATOOut","ArrGateIn","ArrGateOut"
"8-1","UAM0008","6인승","6","사당","1","1","06:30:59","광화문","2","1","06:49:15","06:29:59","06:30:59","06:35:59","06:37:59","06:49:15","06:51:15","06:56:15","07:02:15"
"8-2","UAM0027","6인승","6","사당","1","1","06:33:51","수서","2","3","06:56:26","06:32:51","06:33:51","06:38:51","06:40:51","06:56:26","06:58:26","07:03:26","07:09:26"
"8-3","UAM0065","6인승","6","사당","1","1","06:38:27","목동","2","3","07:02:55","06:37:27","06:38:27","06:43:27","06:45:27","07:02:55","07:04:55","07:09:55","07:15:55"
"8-4","UAM0068","6인승","6","사당","1","2","06:39:02","여의도","2","2","06:59:40","06:38:02","06:39:02","06:45:27","06:47:27","06:59:40","07:01:40","07:06:40","07:12:40"
"8-5","UAM0083","6인승","6","사당","1","1","06:41:27","망우","2","2","06:59:59","06:40:27","06:41:27","06:47:27","06:49:27","06:59:59","07:01:59","07:06:59","07:12:59"
"8-6","UAM0137","6인승","6","사당","1","1","06:47:41","가산","2","3","07:16:28","06:46:41","06:47:41","06:52:41","06:54:41","07:16:28","07:18:28","07:23:28","07:29:28"
"8-7","UAM0152","6인승","6","사당","1","1","06:49:30","성수","2","2","07:13:01","06:48:30","06:49:30","06:54:41","06:56:41","07:13:01","07:15:01","07:20:01","07:26:01"
"8-8","UAM0166","6인승","6","사당","1","1","06:51:24","천호","2","3","07:23:53","06:50:24","06:51:24","06:56:41","06:58:41","07:23:53","07:25:53","07:30:53","07:36:53"
"8-9","UAM0175","6인승","6","사당","1","1","06:53:02","잠실","2","4","07:13:23","06:52:02","06:53:02","06:58:41","07:00:41","07:13:23","07:15:23","07:20:23","07:26:23"
"8-10","UAM0184","6인승","6","사당","1","2","06:54:18","마곡","2","2","07:34:42","06:53:18","06:54:18","07:00:41","07:02:41","07:34:42","07:36:42","07:41:42","07:47:42"
"8-11","UAM0212","6인승","6","사당","1","2","06:58:56","광화문","2","4","07:19:27","06:57:56","06:58:56","07:03:56","07:05:56","07:19:27","07:21:27","07:26:27","07:32:27"
"8-12","UAM0234","6인승","6","사당","1","3","07:02:17","잠실","2","2","07:19:30","07:01:17","07:02:17","07:07:17","07:09:17","07:19:30","07:21:30","07:26:30","07:32:30"
"8-13","UAM0009","6인승","6","사당","1","1","07:04:15","미아","2","2","07:32:11","07:11:53","07:12:53","07:17:53","07:19:53","07:32:11","07:34:11","07:39:11","07:45:11"
"8-14","UAM0025","6인승","6","사당","1","2","07:05:59","천호","2","1","07:39:23","07:13:53","07:14:53","07:19:53","07:21:53","07:39:23","07:41:23","07:46:23","07:52:23"
"8-15","UAM0260","6인승","6","사당","1","4","07:08:36","가산","2","2","07:37:31","07:07:36","07:08:36","07:21:53","07:23:53","07:37:31","07:39:31","07:44:31","07:50:31"
"8-16","UAM0034","6인승","6","사당","1","3","07:09:46","목동","2","3","07:52:55","07:09:53","07:10:53","07:23:53","07:25:53","07:52:55","07:54:55","07:59:55","08:05:55"
"8-17","UAM0038","6인승","6","사당","1","1","07:11:56","연신내","2","2","07:45:22","07:20:23","07:21:23","07:26:23","07:28:23","07:45:22","07:47:22","07:52:22","07:58:22"
"8-18","UAM0048","6인승","6","사당","1","2","07:13:50","성수","2","4","07:44:29","07:22:23","07:23:23","07:28:23","07:30:23","07:44:29","07:46:29","07:51:29","07:57:29"
"8-19","UAM0287","6인승","6","사당","1","5","07:14:44","여의도","2","3","07:40:42","07:13:44","07:14:44","07:30:23","07:32:23","07:40:42","07:42:42","07:47:42","07:53:42"
"8-20","UAM0292","6인승","6","사당","1","6","07:15:03","수서","2","3","07:49:41","07:14:03","07:15:03","07:32:23","07:34:23","07:49:41","07:51:41","07:56:41","08:02:41"
"8-21","UAM0055","6인승","6","사당","1","4","07:16:02","천호","2","5","07:57:23","07:15:53","07:16:53","07:34:23","07:36:23","07:57:23","07:59:23","08:04:23","08:10:23"
"8-22","UAM0075","6인승","6","사당","1","3","07:17:35","목동","2","2","08:06:55","07:18:23","07:19:23","07:36:23","07:38:23","08:06:55","08:08:55","08:13:55","08:19:55"
"8-23","UAM0311","6인승","6","사당","1","5","07:18:54","마곡","2","2","08:16:42","07:17:54","07:18:54","07:38:23","07:40:23","08:16:42","08:18:42","08:23:42","08:29:42"
"8-24","UAM0091","6인승","6","사당","1","1","07:24:14","잠실","2","1","07:52:55","07:29:09","07:30:09","07:40:23","07:42:23","07:52:55","07:54:55","07:59:55","08:05:55"
"8-25","UAM0136","6인승","6","사당","1","2","07:27:10","망우","2","1","08:00:55","07:26:10","07:27:10","07:42:23","07:44:23","08:00:55","08:02:55","08:07:55","08:13:55"
"8-26","UAM0186","6인승","6","사당","1","4","07:30:04","목동","2","1","08:40:55","07:29:04","07:30:04","07:44:23","07:46:23","08:40:55","08:42:55","08:47:55","08:53:55"
"8-27","UAM0180","6인승","6","사당","1","1","07:32:07","상암","2","3","07:58:31","07:37:16","07:38:16","07:46:23","07:48:23","07:58:31","08:00:31","08:05:31","08:11:31"
"8-28","UAM0365","6인승","6","사당","1","3","07:32:57","광화문","2","3","08:01:39","07:31:57","07:32:57","07:48:23","07:50:23","08:01:39","08:03:39","08:08:39","08:14:39"
"8-29","UAM0221","6인승","6","사당","1","2","07:35:40","잠실","2","3","08:03:54","07:35:16","07:36:16","07:50:23","07:52:23","08:03:54","08:05:54","08:10:54","08:16:54"
"8-30","UAM0374","6인승","6","사당","1","3","07:36:12","천호","2","3","08:35:23","07:35:12","07:36:12","07:52:23","07:54:23","08:35:23","08:37:23","08:42:23","08:48:23"
"8-31","UAM0232","6인승","6","사당","1","1","07:38:22","여의도","2","2","08:07:14","07:38:46","07:39:46","07:54:23","07:56:23","08:07:14","08:09:14","08:14:14","08:20:14"
