"LocalID","ID","Type","Pax","From","DepFATO_No","DepGate_No","STD","To","ArrFATO_No","ArrGate_No","STA","DepGateIn","DepGateOut","DepFATOIn","DepFATOOut","ArrFATOIn","ArrFATOOut","ArrGateIn","ArrGateOut"
"9-1","UAM0025","6인승","6","성수","1","1","06:33:39","사당","2","2","06:52:54","06:32:39","06:33:39","06:38:39","06:40:39","06:52:54","06:54:54","06:59:54","07:05:54"
"9-2","UAM0032","6인승","6","성수","1","2","06:34:48","연신내","2","1","06:52:44","06:33:48","06:34:48","06:40:39","06:42:39","06:52:44","06:54:44","06:59:44","07:05:44"
"9-3","UAM0049","6인승","6","성수","1","1","06:36:56","목동","2","4","06:55:00","06:35:56","06:36:56","06:42:39","06:44:39","06:55:00","06:57:00","07:02:00","07:08:00"
"9-4","UAM0060","6인승","6","성수","1","2","06:37:37","마곡","2","4","07:00:52","06:36:37","06:37:37","06:44:39","06:46:39","07:00:52","07:02:52","07:07:52","07:13:52"
"9-5","UAM0097","6인승","6","성수","1","1","06:43:15","여의도","2","1","07:03:40","06:42:15","06:43:15","06:48:15","06:50:15","07:03:40","07:05:40","07:10:40","07:16:40"
"9-6","UAM0113","6인승","6","성수","1","2","06:44:39","목동","2","3","07:10:55","06:43:39","06:44:39","06:50:15","06:52:15","07:10:55","07:12:55","07:17:55","07:23:55"
"9-7","UAM0132","6인승","6","성수","1","1","06:46:50","가산","2","1","07:14:28","06:45:50","06:46:50","06:52:15","06:54:15","07:14:28","07:16:28","07:21:28","07:27:28"
"9-8","UAM0149","6인승","6","성수","1","1","06:48:56","미아","2","3","07:14:29","06:47:56","06:48:56","06:54:15","06:56:15","07:14:29","07:16:29","07:21:29","07:27:29"
"9-9","UAM0173","6인승","6","성수","1","1","06:52:45","마곡","2","1","07:30:42","06:51:45","06:52:45","06:57:45","06:59:45","07:30:42","07:32:42","07:37:42","07:43:42"
"9-10","UAM0177","6인승","6","성수","1","2","06:53:11","봉천","2","2","07:10:31","06:52:11","06:53:11","06:59:45","07:01:45","07:10:31","07:12:31","07:17:31","07:23:31"
"9-11","UAM0178","6인승","6","성수","1","3","06:53:24","수서","2","4","07:12:59","06:52:24","06:53:24","07:01:45","07:03:45","07:12:59","07:14:59","07:19:59","07:25:59"
"9-12","UAM0187","6인승","6","성수","1","1","06:55:06","상암","2","3","07:20:14","06:54:06","06:55:06","07:03:45","07:05:45","07:20:14","07:22:14","07:27:14","07:33:14"
"9-13","UAM0237","6인승","6","성수","1","3","07:02:54","용산","2","3","07:18:31","07:01:54","07:02:54","07:07:54","07:09:54","07:18:31","07:20:31","07:25:31","07:31:31"
"9-14","UAM0039","6인승","6","성수","1","2","07:04:55","목동","2","1","07:40:55","07:04:49","07:05:49","07:10:49","07:12:49","07:40:55","07:42:55","07:47:55","07:53:55"
"9-15","UAM0246","6인승","6","성수","1","3","07:05:03","가산","2","1","07:31:31","07:04:03","07:05:03","07:12:49","07:14:49","07:31:31","07:33:31","07:38:31","07:44:31"
"9-16","UAM0037","6인승","6","성수","1","1","07:10:05","마곡","2","2","07:50:42","07:09:11","07:10:11","07:15:11","07:17:11","07:50:42","07:52:42","07:57:42","08:03:42"
"9-17","UAM0271","6인승","6","성수","1","3","07:11:12","여의도","2","1","07:27:54","07:10:12","07:11:12","07:17:11","07:19:11","07:27:54","07:29:54","07:34:54","07:40:54"
"9-18","UAM0088","6인승","6","성수","1","2","07:14:41","목동","2","3","08:00:55","07:26:31","07:27:31","07:32:31","07:34:31","08:00:55","08:02:55","08:07:55","08:13:55"
"9-19","UAM0295","6인승","6","성수","1","4","07:15:18","수서","2","4","07:51:41","07:14:18","07:15:18","07:34:31","07:36:31","07:51:41","07:53:41","07:58:41","08:04:41"
"9-20","UAM0304","6인승","6","성수","1","5","07:16:33","사당","2","3","07:47:34","07:15:33","07:16:33","07:36:31","07:38:31","07:47:34","07:49:34","07:54:34","08:00:34"
"9-21","UAM0073","6인승","6","성수","1","1","07:17:50","봉천","2","2","07:48:44","07:24:31","07:25:31","07:38:31","07:40:31","07:48:44","07:50:44","07:55:44","08:01:44"
"9-22","UAM0312","6인승","6","성수","1","4","07:19:13","망우","2","1","07:53:15","07:18:13","07:19:13","07:40:31","07:42:31","07:53:15","07:55:15","08:00:15","08:06:15"
"9-23","UAM0125","6인승","6","성수","1","2","07:20:26","미아","2","3","07:54:45","07:35:01","07:36:01","07:42:31","07:44:31","07:54:45","07:56:45","08:01:45","08:07:45"
