"LocalID","ID","Type","Pax","From","DepFATO_No","DepGate_No","STD","To","ArrFATO_No","ArrGate_No","STA","DepGateIn","DepGateOut","DepFATOIn","DepFATOOut","ArrFATOIn","ArrFATOOut","ArrGateIn","ArrGateOut"
"10-1","UAM0006","6인승","6","연신내","1","1","06:30:58","수서","2","2","06:52:25","06:29:58","06:30:58","06:35:58","06:37:58","06:52:25","06:54:25","06:59:25","07:05:25"
"10-2","UAM0015","6인승","6","연신내","1","2","06:31:39","여의도","2","1","06:48:46","06:30:39","06:31:39","06:37:58","06:39:58","06:48:46","06:50:46","06:55:46","07:01:46"
"10-3","UAM0019","6인승","6","연신내","1","1","06:32:28","강남","2","1","06:55:18","06:31:28","06:32:28","06:39:58","06:41:58","06:55:18","06:57:18","07:02:18","07:08:18"
"10-4","UAM0035","6인승","6","연신내","1","1","06:35:10","봉천","2","3","06:57:34","06:34:10","06:35:10","06:41:58","06:43:58","06:57:34","06:59:34","07:04:34","07:10:34"
"10-5","UAM0061","6인승","6","연신내","1","1","06:37:58","천호","2","1","06:58:27","06:36:58","06:37:58","06:43:58","06:45:58","06:58:27","07:00:27","07:05:27","07:11:27"
"10-6","UAM0118","6인승","6","연신내","1","1","06:45:01","가산","2","4","07:10:28","06:44:01","06:45:01","06:50:01","06:52:01","07:10:28","07:12:28","07:17:28","07:23:28"
"10-7","UAM0133","6인승","6","연신내","1","1","06:47:06","잠실","2","4","07:06:18","06:46:06","06:47:06","06:52:06","06:54:06","07:06:18","07:08:18","07:13:18","07:19:18"
"10-8","UAM0143","6인승","6","연신내","1","2","06:48:28","미아","2","2","07:10:29","06:47:28","06:48:28","06:54:06","06:56:06","07:10:29","07:12:29","07:17:29","07:23:29"
"10-9","UAM0200","6인승","6","연신내","1","1","06:56:59","성수","2","2","07:21:01","06:55:59","06:56:59","07:01:59","07:03:59","07:21:01","07:23:01","07:28:01","07:34:01"
"10-10","UAM0227","6인승","6","연신내","1","2","07:01:07","용산","2","2","07:16:31","07:00:07","07:01:07","07:06:07","07:08:07","07:16:31","07:18:31","07:23:31","07:29:31"
"10-11","UAM0232","6인승","6","연신내","1","3","07:02:08","사당","2","1","07:23:46","07:01:08","07:02:08","07:08:07","07:10:07","07:23:46","07:25:46","07:30:46","07:36:46"
"10-12","UAM0244","6인승","6","연신내","1","2","07:04:37","목동","2","4","07:38:55","07:03:37","07:04:37","07:10:07","07:12:07","07:38:55","07:40:55","07:45:55","07:51:55"
"10-13","UAM0032","6인승","6","연신내","1","1","07:09:36","수서","2","2","07:40:42","07:14:56","07:15:56","07:20:56","07:22:56","07:40:42","07:42:42","07:47:42","07:53:42"
"10-14","UAM0278","6인승","6","연신내","1","3","07:12:09","망우","2","3","07:40:55","07:11:09","07:12:09","07:22:56","07:24:56","07:40:55","07:42:55","07:47:55","07:53:55"
"10-15","UAM0284","6인승","6","연신내","1","3","07:14:05","강남","2","4","07:43:50","07:13:05","07:14:05","07:24:56","07:26:56","07:43:50","07:45:50","07:50:50","07:56:50"
